Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2020-07-16,17.059999465942383,222.3800048828125,248.5399932861328,62.04074478149414,35.63999938964844,319.5110168457031,3,0.06,0.0,0.37,0.57,0.0,150.0,0.0,45.0,291.0,0.0,31797.15634918213,10863.374572753906
2020-07-17,16.989999771118164,238.57000732421875,246.5399932861328,61.731292724609375,35.36000061035156,320.4372863769531,4,0.06,0.0,0.37,0.57,0.0,150.0,0.0,45.0,291.0,0.0,31606.60584640503,10894.867736816406
2020-07-20,16.610000610351562,262.9700012207031,268.5799865722656,65.07540130615234,35.40999984741211,323.0269470214844,0,0.06,0.0,0.37,0.57,0.0,150.0,0.0,45.0,291.0,0.0,33514.54126739502,10982.916198730469
2020-07-21,17.09000015258789,260.510009765625,260.44000244140625,66.3531494140625,37.54999923706055,323.7142028808594,1,0.15,0.14,0.0,0.71,0.0,299.0,18.0,0.0,359.0,0.0,33592.06661224365,11006.282897949219
2020-07-22,18.709999084472656,262.04998779296875,261.17999267578125,67.11181640625,37.75,325.5567932128906,2,0.15,0.14,0.0,0.71,0.0,299.0,18.0,0.0,359.0,0.0,34404.33159637451,11068.930969238281
2020-07-23,17.56999969482422,254.32000732421875,251.5,66.42302703857422,36.209999084472656,321.6723327636719,3,0.15,0.14,0.0,0.71,0.0,299.0,18.0,0.0,359.0,0.0,33677.05674743652,10936.859313964844
2020-07-24,16.90999984741211,248.2899932861328,246.55999755859375,65.70364379882812,37.54999923706055,319.60064697265625,4,0.15,0.14,0.0,0.71,0.0,299.0,18.0,0.0,359.0,0.0,33112.91795730591,10866.421997070312
2020-07-27,16.219999313354492,252.86000061035156,252.3300018310547,67.4621353149414,35.1150016784668,321.9313049316406,0,0.15,0.14,0.0,0.71,0.0,299.0,18.0,0.0,359.0,0.0,33620.166383743286,10945.664367675781
2020-07-28,14.989999771118164,249.7899932861328,252.17999267578125,63.63541793823242,34.630001068115234,319.8894958496094,1,0.1,0.0,0.0,0.9,0.0,215.0,0.0,0.0,449.0,0.0,31823.34485054016,10876.242858886719
2020-07-29,12.859999656677246,264.6199951171875,252.38999938964844,66.0533447265625,35.88999938964844,323.82373046875,2,0.1,0.0,0.0,0.9,0.0,215.0,0.0,0.0,449.0,0.0,32422.85170841217,11010.0068359375
2020-07-30,12.579999923706055,267.45001220703125,250.0,67.08245849609375,34.790000915527344,322.6683654785156,3,0.1,0.0,0.0,0.9,0.0,215.0,0.0,0.0,449.0,0.0,32824.723848342896,10970.724426269531
2020-07-31,12.15999984741211,277.4200134277344,253.91000366210938,70.33966827392578,33.375,325.2181396484375,4,0.1,0.0,0.0,0.9,0.0,215.0,0.0,0.0,449.0,0.0,34196.91102218628,11057.416748046875
2020-08-03,13.65999984741211,286.3299865722656,268.0,72.02821350097656,32.95000076293945,327.4791259765625,0,0.1,0.0,0.0,0.9,0.0,215.0,0.0,0.0,449.0,0.0,35277.56782913208,11134.290283203125
2020-08-04,14.119999885559082,283.760009765625,267.3399963378906,68.38134765625,33.060001373291016,328.7440490722656,1,0.05,0.21,0.0,0.69,0.06,118.0,24.0,0.0,340.0,58.0,33739.02507305145,11177.297668457031
2020-08-05,14.010000228881836,278.1099853515625,272.8999938964844,62.596309661865234,32.54999923706055,330.7858581542969,2,0.05,0.21,0.0,0.69,0.06,118.0,24.0,0.0,340.0,58.0,31498.464916229248,11246.719177246094
2020-08-06,12.970000267028809,260.489990234375,268.25,65.02423095703125,33.650001525878906,332.99700927734375,3,0.05,0.21,0.0,0.69,0.06,118.0,24.0,0.0,340.0,58.0,31842.158411026,11321.898315429688
