Date,High,Low,Open,Close,Volume,Adj Close
2015-08-28,209.13183263142903,206.76533279418945,208.1323321024577,207.91433334350586,135584253.33333334,187.32875061035156
2015-08-31,208.94099934895834,206.5658327738444,207.93499883015951,207.71266657511393,136277488.33333334,187.16216405232748
2015-09-01,208.69016596476237,206.2714993794759,207.6596654256185,207.4341667175293,139059773.33333334,186.92620010375975
2015-09-02,208.46283264160155,206.01699930826823,207.4291653951009,207.21683349609376,139980350.0,186.74539031982422
2015-09-03,208.24016596476238,205.7779993693034,207.21066538492838,206.96016693115234,140272625.0,186.52929407755533
2015-09-04,207.93633270263672,205.45149943033854,206.90016555786133,206.64283345540363,142492701.66666666,186.25854263305663
2015-09-08,207.70516611735027,205.20966618855795,206.65516560872396,206.43316675821941,142170090.0,186.08475926717122
2015-09-09,207.5388328552246,204.98566640218098,206.49983240763348,206.19449996948242,142586148.33333334,185.88476028442383
2015-09-10,207.31999944051105,204.74449971516927,206.26033248901368,205.9545000712077,143807863.33333334,185.6836415608724
2015-09-11,207.0783327738444,204.49733301798503,206.00683263142903,205.72366689046223,143690906.66666666,185.4908139546712
2015-09-14,206.80616607666016,204.24399948120117,205.7674992879232,205.44416681925455,142250641.66666666,185.2542610168457
2015-09-15,206.59683278401693,204.00399958292644,205.5199991861979,205.23833363850912,141972766.66666666,185.06865564982095
2015-09-16,206.39383290608723,203.78349965413412,205.3018325805664,205.04316685994465,142454193.33333334,184.8926684061686
2015-09-17,206.23466618855795,203.57866617838542,205.0998326619466,204.8380002339681,145913690.0,184.7076639811198
2015-09-18,206.00983276367188,203.32016626993814,204.832999420166,204.58716684977213,148102860.0,184.49675216674805
2015-09-21,205.7836659749349,203.0774996439616,204.58866602579752,204.36383361816405,148246506.66666666,184.31071751912435
2015-09-22,205.51499938964844,202.80083287556965,204.3151662190755,204.09866689046223,149075108.33333334,184.0867612202962
2015-09-23,205.2623326619466,202.59383290608724,204.08283284505208,203.90166702270508,147244596.66666666,183.92424799601238
2015-09-24,205.031165822347,202.34849955240887,203.83099950154622,203.68583348592122,146852158.33333334,183.74469731648762
2015-09-25,204.8139991760254,202.10266621907553,203.61283289591472,203.44166692097983,147170073.33333334,183.539594523112
2015-09-28,204.5413324991862,201.7831662495931,203.34133275349936,203.12000020345053,148405776.66666666,183.26422958374025
2015-09-29,204.2428326924642,201.47316614786783,203.04966608683267,202.81000010172525,149090280.0,182.99939244588217
2015-09-30,203.97049942016602,201.22866617838542,202.77316589355468,202.5368334452311,148917476.66666666,182.7680435180664
2015-10-01,203.73266626993816,200.98816630045573,202.53416595458984,202.3301668802897,148368458.33333334,182.59669825236003
2015-10-02,203.5273328145345,200.7273328145345,202.24633280436197,202.16516698201497,149483295.0,182.46314951578776
2015-10-05,203.37333297729492,200.58366622924805,202.06583302815756,202.01500040690104,149431026.66666666,182.34324798583984
2015-10-06,203.1913330078125,200.38466618855793,201.88783289591473,201.8153335571289,149501111.66666666,182.17865778605145
2015-10-07,203.00433298746745,200.18183288574218,201.70749944051107,201.62750040690105,150211073.33333334,182.02486470540364
2015-10-08,202.84216639200847,199.9909996032715,201.51116612752278,201.47083384195963,151130091.66666666,181.8993158976237
2015-10-09,202.66883290608723,199.80766626993815,201.33633295694986,201.28800048828126,151136523.33333334,181.75018157958985
2015-10-12,202.48899943033854,199.62616628011068,201.1551663716634,201.10533396402994,150592616.66666666,181.60121154785156
2015-10-13,202.30533294677736,199.42349955240886,200.9534996032715,200.89966735839843,150885815.0,181.43140233357747
2015-10-14,202.10749944051108,199.21599960327148,200.74933293660482,200.69200057983397,151238168.33333334,181.25971425374348
2015-10-15,201.95066604614257,199.02849960327148,200.56849975585936,200.54166742960612,151996073.33333334,181.13996480305988
2015-10-16,201.81133270263672,198.89799957275392,200.423499806722,200.42650095621744,152397256.66666666,181.0519989013672
2015-10-19,201.69466603597004,198.80683288574218,200.2934997558594,200.34933420817057,151710071.66666666,180.99830525716146
2015-10-20,201.63283259073893,198.74499969482423,200.22533315022787,200.28800099690756,150811528.33333334,180.95886967976887
2015-10-21,201.53766581217448,198.659166208903,200.15566660563152,200.16333440144857,150453081.66666666,180.8622263590495
2015-10-22,201.44549916585285,198.53483301798502,200.04733327229818,200.0715009053548,151605088.33333334,180.79545516967772
2015-10-23,201.3943323771159,198.48283309936522,199.99883321126302,200.0163340250651,152490720.0,180.76192321777344
2015-10-26,201.32633234659832,198.42283299763997,199.93016662597657,199.95800069173177,151920155.0,180.7254961649577
2015-10-27,201.26749903361002,198.3751663208008,199.85916646321616,199.90483423868815,151319156.66666666,180.69369633992514
